Description,Features,Keywords,Parent_sku,Sku,Specs,Title,Variations,Warning,file_urls,image_name,image_urls,images
"IQUITY - A PREMIUM COATING THAT PERFORMS BEYOND EXPECTATION. Every once in a while, a revolutionary innovation comes along that really makes a difference in how you see things. Radians new IQuity Anti-Fog Coating is a breakthrough technology that provides one of the most superior and long-lasting anti-fog coatings in the marketplace at a competitive price. It is both EN166K and N compliant. The water-based coating lasts much longer because the anti-fog and anti-scratch properties are built into the lens for long-term wear and durability. With the latest patented technologies, materials, and processes, THRAXUS by Radians is the next generation of highly protective, ultra-comfortable and super stylish safety eyewear.",,,products-radians-thraxus--iq-safety-eyewear,,,Radians Thraxus IQ Safety Eyewear,"['txc1-13id','txc1-23id']", WARNING: Cancer and reproductive harm. California residents click here: https://www.radians.com/prop-65-warning,,Radians Thraxus IQ Safety Eyewear,https://images.salsify.com/image/upload/s--MIR57I9j--/w_636%2Cq_65/fl_attachment/ynoqjgrixuhrkoxo1tp1.jpg,"[{'url': 'https://images.salsify.com/image/upload/s--MIR57I9j--/w_636%2Cq_65/fl_attachment/ynoqjgrixuhrkoxo1tp1.jpg', 'path': 'Radians Thraxus IQ Safety Eyewear.jpg', 'checksum': '16248960c1924e3c02ca92db4c84b38e', 'status': 'downloaded'}]"
"The Crossfire Crucible is stylish safety eyewear with a sleek, modern look that provides premium protection. The adjustable rubber nosepiece and dual mold rubber temple grips add comfort and stability. This style is available with a polarized lens.",,,products-crossfire-crucible-premium-safety-eyewear,,,Crossfire Crucible Premium Safety Eyewear,"['40228','40412','4061','40117','40227']", WARNING: Cancer and reproductive harm. California residents click here: https://www.radians.com/prop-65-warning,,Crossfire Crucible Premium Safety Eyewear,https://images.salsify.com/image/upload/s--1-gD02I0--/w_636%2Cq_65/fl_attachment/vcukjsrcijulhwvrviqk.jpg,"[{'url': 'https://images.salsify.com/image/upload/s--1-gD02I0--/w_636%2Cq_65/fl_attachment/vcukjsrcijulhwvrviqk.jpg', 'path': 'Crossfire Crucible Premium Safety Eyewear.jpg', 'checksum': '94572511324b921a16c59c3bc5623809', 'status': 'downloaded'}]"
Crossfire accessories help you protect and keep track of your eyewear at all times.,,,products-crossfire-accessories,,,Crossfire Accessories,"['c6','c12','cr1','c24','cr3','g3','g4']", WARNING: Cancer and reproductive harm. California residents click here: https://www.radians.com/prop-65-warning,,Crossfire Accessories,https://images.salsify.com/image/upload/s--kKeElukH--/w_636%2Cq_65/fl_attachment/mws6x5hlesxqqwzjzx8i.jpg,"[{'url': 'https://images.salsify.com/image/upload/s--kKeElukH--/w_636%2Cq_65/fl_attachment/mws6x5hlesxqqwzjzx8i.jpg', 'path': 'Crossfire Accessories.jpg', 'checksum': '671ed518c9f21fc5152e06d9b861ca56', 'status': 'downloaded'}]"
"With a variety of lens choices the Crossfire Core is among the top selling safety glasses for its performance in fit, function and style. This style performs well in outdoor and indoor use and is available with a polarized lens.",,,products-crossfire-core-premium-safety-eyewear,,,Crossfire Core Premium Safety Eyewear,"['181813','1821','18146','18615','1863','1864-af']", WARNING: Cancer and reproductive harm. California residents click here: https://www.radians.com/prop-65-warning,,Crossfire Core Premium Safety Eyewear,https://images.salsify.com/image/upload/s--MC8uMo6g--/w_636%2Cq_65/fl_attachment/tvcbhhodmyc0yc8jcrmp.jpg,"[{'url': 'https://images.salsify.com/image/upload/s--MC8uMo6g--/w_636%2Cq_65/fl_attachment/tvcbhhodmyc0yc8jcrmp.jpg', 'path': 'Crossfire Core Premium Safety Eyewear.jpg', 'checksum': '8ea0125bb29e0c30a1b6e7dfb719eef1', 'status': 'downloaded'}]"
"The Crossfire Concept is our #1 selling foam lined safety glass. Designed specifically for sports, this glass has made an easy transition into the workplace with comfort and style as a key components.",,,products-crossfire-concept-foam-lined-bifocal-safety-eyewear,,,Crossfire Concept Foam Lined Bifocal Safety Eyewear,"['82115','84415','84420','84425']", WARNING: Cancer and reproductive harm. California residents click here: https://www.radians.com/prop-65-warning,,Crossfire Concept Foam Lined Bifocal Safety Eyewear,https://images.salsify.com/image/upload/s--lSdmd5Rj--/w_636%2Cq_65/fl_attachment/zjheqrchyas1ltduajvj.jpg,"[{'url': 'https://images.salsify.com/image/upload/s--lSdmd5Rj--/w_636%2Cq_65/fl_attachment/zjheqrchyas1ltduajvj.jpg', 'path': 'Crossfire Concept Foam Lined Bifocal Safety Eyewear.jpg', 'checksum': '95e68e380df49eebe311a7533855b7d6', 'status': 'downloaded'}]"
"The Crossfire Concept is our #1 selling foam lined safety glass. Designed specifically for sports, this glass has made an easy transition into the workplace with comfort and style as a key components.",,,products-crossfire-concept-foam-lined-safety-eyewear,,,Crossfire Concept Foam Lined Safety Eyewear,"['873','821-af','828','844-af','867-af']", WARNING: Cancer and reproductive harm. California residents click here: https://www.radians.com/prop-65-warning,,Crossfire Concept Foam Lined Safety Eyewear,https://images.salsify.com/image/upload/s--wyl3RZh1--/w_636%2Cq_65/fl_attachment/wtmpbifipbrphvs2p4d4.jpg,"[{'url': 'https://images.salsify.com/image/upload/s--wyl3RZh1--/w_636%2Cq_65/fl_attachment/wtmpbifipbrphvs2p4d4.jpg', 'path': 'Crossfire Concept Foam Lined Safety Eyewear.jpg', 'checksum': '486371eb74958b03d54606465e831a3f', 'status': 'downloaded'}]"
"The classic look of the Crossfire CK7 is designed for all day comfort and maximum protection. From the fully adjustable wire core rubber temple tips to the indirect vented lens to reduce fogging, the CK7 is the super safety eyewear solution.",,,products-crossfire-ck7--premium-safety-eyewear,,,Crossfire CK7 Premium Safety Eyewear,"['460601','460603','460604']", WARNING: Cancer and reproductive harm. California residents click here: https://www.radians.com/prop-65-warning,,Crossfire CK7 Premium Safety Eyewear,https://images.salsify.com/image/upload/s--IoQjdIY7--/w_636%2Cq_65/fl_attachment/ph9r0ctr9fpawftpwyr8.jpg,"[{'url': 'https://images.salsify.com/image/upload/s--IoQjdIY7--/w_636%2Cq_65/fl_attachment/ph9r0ctr9fpawftpwyr8.jpg', 'path': 'Crossfire CK7 Premium Safety Eyewear.jpg', 'checksum': 'c971759107a2bdd043aa2775f2f032fc', 'status': 'downloaded'}]"
"Designed with the sportsman in mind, the Crossfire Cirrus transitions easily from work environments to recreation! The adjustable nosepiece allows for added protection, while the sleek one piece lens design provides an unobstructed full field of vision.",,,products-crossfire-cirrus-premium-safety-eyewear,,,Crossfire Cirrus Premium Safety Eyewear,"['39221','392215','3968','39812']", WARNING: Cancer and reproductive harm. California residents click here: https://www.radians.com/prop-65-warning,,Crossfire Cirrus Premium Safety Eyewear,https://images.salsify.com/image/upload/s--Gj7FAshs--/w_636%2Cq_65/fl_attachment/zpaoz2rvhwwpbalysr2s.jpg,"[{'url': 'https://images.salsify.com/image/upload/s--Gj7FAshs--/w_636%2Cq_65/fl_attachment/zpaoz2rvhwwpbalysr2s.jpg', 'path': 'Crossfire Cirrus Premium Safety Eyewear.jpg', 'checksum': '8cad55381bbbc285bd9240b3f01967b8', 'status': 'downloaded'}]"
There are many options for displaying your Crossfire eyewear.,,,products-crossfire-displays,,,Crossfire Displays,"['36baba','pl12','60baba','cd18']", WARNING: Cancer and reproductive harm. California residents click here: https://www.radians.com/prop-65-warning,,Crossfire Displays,https://images.salsify.com/image/upload/s--MJKVuvqe--/w_636%2Cq_65/fl_attachment/utna85axiwoljjgtfean.jpg,"[{'url': 'https://images.salsify.com/image/upload/s--MJKVuvqe--/w_636%2Cq_65/fl_attachment/utna85axiwoljjgtfean.jpg', 'path': 'Crossfire Displays.jpg', 'checksum': 'efc57d6419b7b4e817308edbcb551e90', 'status': 'downloaded'}]"
